Roller_Coaster|Speed|park|location|country|Year
Formula Rossa|149 mph|Ferrari World|Dubai|United Arab Emirates|2010
Kingda Ka|128 mph|Six Flags Great Adventure|Jackson, New Jersey||2005
Top Thrill Dragster|120 mph|Cedar Point|Sandusky, Ohio||2003
Dodonpa|106 mph|Fuji-Q Highland|FujiYoshida-shi|Japan|2001
Steel Dragon 2000|95 mph|Nagashima Spa Land|Mie|Japan|2000
Millennium Force|93 mph|Cedar Point|Sandusky, Ohio||2000
Intimidator 305|90 mph|Kings Dominion|Doswell, Virginia||2010
Goliath|85 mph|Six Flags Magic Mountain|Valencia, California||2000
Titan|85 mph|Six Flags Over Texas|Arlington, Texas||2001
Phantom's Revenge|85 mph|Kennywood|West Mifflin, Pennsylvania||2001
Furious Baco|84 mph|Port Aventura|Salou|Spain|2007
Extreme Rusher|84 mph|Happy Valley|Beijing|China||2010
