@relation NewRelation
@attribute yearID numeric
@attribute teamID {ANA,ARI,ATL,BAL,BOS,CAL,CHA,CHN,CIN,CLE,COL,DET,FLO,HOU,KC,KCA,LAA,LAN,MIL,MIN,ML4,MON,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS}
@attribute lgID {AL,NL}
@attribute playerID {abbotji01,abbotky01,aceveal01,aguilri01,akerfda01,alfoned01,alicelu01,allanan01,almanar01,alomaro01,aloumo01,amarari01,anderal02,anderda02,ankieri01,ariasge01,armasto02,arrojro01,arroybr01,austiji02,averyst01,ayalabo01,ayalalu01,aybarer01,baergca01,bailobo01,bairdo01,balbost01,baldero01,bankswi01,bannibr01,barneda01,barnesk01,barremi01,batismi01,batisto01,bauerri01,bautida01,beckro01,bedarer01,beimejo01,belchti01,bellhma01,bellja01,beltbr01,beltrca01,benedbr01,benesan01,benoijo01,bereja01,berkeja01,berryda01,betemwi01,bicheda01,biggicr01,blackch02,blakeca01,blancan01,blankla02,blausje01,blylebe01,boevejo01,bogusbr01,bondeje01,bondsba01,bonifem01,booneaa01,boonebr01,bordepa01,bordimi01,borkoda01,borowjo01,bosleth01,bostoda01,bouchde01,bournra01,bowenro01,bowenry01,boydoi01,bradlsc01,brantje01,braybi01,breamsi01,brennwi01,brettge01,brosisc01,brownad01,brownje01,brownke01,brownto05,broxtjo01,brunato01,brusswa01,buchhcl01,buckjo01,buechst01,bulliji01,burbada01,burneaj01,butchmi01,butlebr01,butleri01,byrdpa01,byrneer01,cabreas01,cabremi01,cadargr01,callaal01,camermi01,campusi01,candito01,cantujo01,cappsma01,carrobr01,carroja01,cartega01,cashke01,castito02,castivi02,castrra01,catalfr01,chacijh01,charlno01,chaveer01,chavera01,chenbr01,chulkvi01,cianfar01,clarkda05,clarkja01,claytro01,clemepa01,clemero02,clontbr01,colbrgr01,colesda01,colyest01,coneda01,cookde01,cookest01,coomero01,coraal01,corajo01,cordewi01,cordofr01,cordoma01,cormirh01,corsiji01,crawfca02,crespce01,cressja01,crewsti01,cruzde01,cruzjo01,cruzne02,cummimi01,curtich01,daalom01,danieka01,darenvi01,darliro01,darwida01,daultda01,davieky01,davisch01,daviser01,davisjj01,davisjo02,davisla01,davisru01,davisst02,dayza01,dedunsa01,deerro01,dejesda01,delabst01,delaceu01,delarjo01,delgaca01,dernibo01,devermi01,diazal01,diazbo01,diazma01,doteloc01,downske01,downssc01,dreifda01,drewjd01,duncama01,dunstsh01,durbich01,durhara01,easleda01,easlemi01,easteja01,eckerde01,eckstda01,edmonji01,eichhma01,eischjo01,eisenji01,ellisja01,elsteke01,encaran01,encarju01,engleda01,epparji01,ericksc01,erstada01,escobal02,escobke01,escobyu01,espyce01,estessh01,evansdw01,evereca01,eyresc01,faneyri01,fariepa01,farrejo03,farrst01,fermife01,fernasi01,fernato01,fieldce01,fieldpr01,figgich01,fikacje01,fitzgmi02,floydcl01,fonvich01,fossuca01,fosteke01,foulkke01,foxch02,francjo01,frankry01,frascjo01,frasoja01,freemfr01,freemma02,fuentbr01,gaettga01,galarar01,gallada01,gamelma01,gantro01,garceri01,garcino01,garcire01,gardnje01,gardnma01,gardnwe01,garresc01,garzama01,gerhake01,germafr01,gerutjo01,giambja01,giambje01,gibboja01,gilesma01,gilkebe01,gipsoch01,glavito02,goffje01,gomesjo01,gomeswa01,gonzaal01,gonzaca01,gonzagi01,gonzaju03,gonzami02,goodedw01,gottji01,gracema01,gracemi02,graffto01,grandcu01,grantma01,greensh01,greento01,greento02,greggke01,griffal01,grillja01,grubbjo01,grubeke01,grudzma01,guarded01,gubicma01,guerrpe01,guerrvl01,guevaca01,guzmacr01,guzmaje01,guzmaju01,gwynnch01,gwynnto02,hafnetr01,hairssc01,hallal02,halljo02,hamilda02,hamiljo02,hamiljo03,hamptmi01,hanseda01,hanseje01,hansoto01,haranaa01,harnipe01,harrijo05,harrire01,harvebr01,hassero01,hatchbi01,hattesc01,hawpebr01,hayesvo01,hayneji01,helliri01,hendest01,henlebo01,henslcl01,henslma01,heredfe01,hermach01,hernaca03,hernajo01,hernali01,hernara02,hernaro01,hernawi01,herrto01,heskejo01,hessmmi01,hicksbr01,hidalri01,higgibo02,hillesh02,hillko01,hinsker01,hoffmtr01,hoilech01,hollato01,holmeda01,holtzmi01,hookch01,hootobu01,hortori01,houltdj01,houstty01,howarry01,howarth01,howelja01,howrybo01,hrbekke01,hubbagl01,huffau01,hugheph01,hundlni01,huntebr02,hunteto01,hurstbr01,hurstjo01,huskebu01,hyersti01,ibanera01,infanom01,irabuhi01,ishiika01,isrinja01,izturce01,jacksau01,jacksco01,jacksda04,jacksmi02,jamesbo01,jamesch02,janseke01,jaramja01,javiest01,jeffegr01,jeffere01,jennide01,jensema01,jeterde01,jimenda01,johjike01,johnsbr01,johnsch04,johnsch05,johnsda05,johnsji04,johnsjo07,johnsla03,johnsma02,johnsmi02,johnsra05,johnsru01,jonesba01,jonesch06,jonesja04,jonesji02,jordabr01,jordari02,jorgete01,josefe01,joycema01,juddmi01,juliojo01,kamiesc01,karkoro01,karroer01,kellydo01,kendaja01,kennead01,kensilo01,kentje01,kieckda01,kileda01,kingemi01,kinnejo01,kleskry01,kniceal01,knoblch01,knorrra01,knottga01,kotchca01,kreutch01,kubelja01,lagami01,lahaibr01,lahtije01,lampkto01,lancale01,langery01,langsma01,lansfca01,lansimi01,lapoida01,laporma01,larisje01,larkiba01,larocad01,lawleto01,lawtoma02,layanti01,leakemi01,learyti01,lecursa01,ledezwi01,leede02,leibrch01,leitema01,leiussc01,leskacu01,lestejo01,levisje01,lewisda01,leyriji01,lezcasi01,lidleco01,liebejo01,lillibr01,lincomi01,lindjo01,liriafr01,loftoke01,loganbo02,lohseky01,longte01,loopebr01,lopesda01,lopezaq01,lopezfe01,lowerte01,lowese01,lugoju01,lusadsc01,lynnla01,mabryjo01,macfami01,mackoro01,mahayro01,maldoca01,manwaki01,manzeto01,marotmi01,marreel01,marsolo01,martean01,marteda01,martial03,martica01,martida01,martide01,martied01,martimi01,martino01,martiti01,martiti02,martivi01,masonro01,mateoju01,mateoju02,matsuhi01,maybica01,mccanbr01,mccarto03,mccaski01,mcclell01,mcclubo01,mccluse01,mcculla01,mcdonbe01,mcdonjo03,mcdowro01,mcgeewi01,mcglike01,mcgrifr01,mclemma01,mcmicgr01,mcraebr01,mearepa01,melusmi01,melvibo01,merulma01,mesajo01,micelda01,milesaa01,millake01,milleku01,millela02,millewa04,millsal01,minormi01,mintogr01,mirabdo01,mitchke01,mockga01,moellch01,moellde01,molinjo01,mondera01,monteri01,mooremi01,moralfr01,morame01,moranmi01,mordemi01,morgami01,morneju01,morriha02,motagu01,moyerja01,muellbi02,muldema01,munozmi01,murraed02,myersgr01,myersmi01,nagych01,nathajo01,neaglde01,nelsojo01,newfima01,niedeto01,niemaje01,nifu01,nippeal01,nolasri01,nunezab01,nunezle01,nunnajo01,obermwe01,ochoaal01,ohkato01,ohlenro01,ohmanwi01,oleartr01,oliveda02,oneilpa01,ontivst02,oquenjo01,orsuljo01,ortizra01,osbordo01,osunaan01,owenshe01,owensp01,owingmi01,ozunapa01,paglimi01,pagnoto01,palldo01,palmeda01,palmera01,papeljo01,parkch01,parkecl01,parkeri01,parrama01,parreje01,parrijo01,parrila02,pattebo01,patteco01,patteke01,penaal01,pencehu01,pendlte01,peraljo01,percitr01,perezed01,perezed02,perezto01,perezto03,perezyo01,perryge01,perryhe01,peterch01,pettian01,philljr01,picciro01,pierrju01,plunker01,polanpl01,politcl01,pooleji02,posadjo01,posesc01,potelo01,prattto02,priceda01,princto01,priorma01,pujolal01,putzjj01,quallch01,quinolu01,rakeraa01,ramirha01,ramirma02,ramirra01,randajo01,rapppa01,raych01,rayjo01,readyra01,reardje01,rebouje01,redmomi01,redusga01,reedda01,reeder01,reimono01,reitsch01,renteed01,reyesca01,reyesde01,reynogr01,reynoma01,reynorj01,reynosh01,richacl01,rigbybr01,ripkebi01,ripkeca01,riverlu01,roajo01,roberda07,roberje02,roberry01,robinro01,rodnefe01,rodrial01,rodrihe02,rodrilu01,rodrine01,rogerji02,rogerke01,rolliji01,romered01,romose01,rosalad01,rosarvi01,rossyri01,rowanaa01,roystje01,rueteki01,ruhleve01,rupejo01,ryanno01,ryanro02,saarlki01,sadledo01,sageraj01,sandbry01,sandere02,sandesc01,santaer01,santafp01,santira01,saxst01,scarsst01,schafjo02,schoesc01,schumsk01,scottlu01,scutama01,searara01,servasc01,servisc01,sheetan01,sheffga01,shelbjo01,sheltch01,shielja02,shielsc01,shielst01,shousbr01,shumpte01,sierrru01,simasbi01,simmote01,sippto01,siscoan01,siskdo01,slocuhe01,slusajo01,smilejo01,smithbo06,smithdw01,smithse01,smithza01,smoltjo01,snydejo02,soriaal01,sorrepa01,sosajo02,spande01,speieju01,spierbi01,spiezsc01,spoljpa01,sprinru01,stairma01,stanfja01,stantmi02,steinbi02,steinte01,stewajo02,stoneje01,stricsc01,stroppe01,suerowi01,suppaje01,sutclri01,suttebr01,suzukic01,suzukku01,sveumda01,swindgr01,tapanke01,tatumcr01,tavarje01,tavarju01,tayloke01,teixema01,tejedro01,telfoan01,terrewa01,terrysc01,teufeti01,thomala01,thomeji01,thompma01,thondi01,timlimi01,torreyo01,towerjo01,trammal01,trillma01,troncra01,ugglada01,uribejo01,uribeju01,utleych01,valdeme01,valdepe01,valenjo03,vandeed01,vanderi01,vargacl01,varitja01,vaughgr01,vazquja01,vazqura01,velanjo01,velarra01,ventejo01,venturo01,verasjo01,vidrojo01,villaca01,villaos01,vinafe01,virgioz02,vizquom01,wagnebi02,waitsri01,walkeja01,walkela01,walldo01,waltege01,wardda01,warddu01,wardtu01,washbja01,watsoal01,weaveje02,webstle01,webstmi01,weisswa01,wellsbo01,wellsda01,westbja01,whitede03,whitede04,whitefr01,whiteje01,whitter01,wickake01,wiggity01,willibe02,willima04,willimi02,willire03,williwo02,wilsoda01,wilsoni01,wilsotr01,wittbo01,wohlema01,wolcobo01,woodast01,worreti01,wrighja01,wrighri01,yanes01,yatesty01,youngde03,youngdm01,younger02,youngke01,youngma01,youngma02,youngmi02,zambrca01,zambrvi01,zaungr01,zitoba01}
@attribute salary numeric
@data
2010,MIN,AL,liriafr01,1600000
2005,SEA,AL,boonebr01,9000000
2001,SFN,NL,johnsjo07,2175000
1998,MIN,AL,coomero01,325000
1999,HOU,NL,melusmi01,200000
1994,MIN,AL,ericksc01,1325000
1996,BAL,AL,devermi01,900000
1988,NYA,AL,clarkja01,1500000
1989,MIN,AL,shielst01,125000
2001,ATL,NL,jordabr01,9100000
2011,ATL,NL,ventejo01,429500
2002,MON,NL,barremi01,1150000
2001,ATL,NL,mcglike01,242000
1993,CHN,NL,gracema01,3100000
1985,BAL,AL,martiti01,440000
1996,FLO,NL,perezyo01,187500
2000,OAK,AL,velanjo01,219500
1992,BAL,AL,mcdonbe01,500000
2005,SFN,NL,ellisja01,316500
1998,ATL,NL,jonesch06,2550000
1989,PHI,NL,jamesch02,230000
1994,SEA,AL,amarari01,232500
1991,PHI,NL,campusi01,220000
2006,KCA,AL,buckjo01,349500
1997,PIT,NL,youngke01,400000
1985,BOS,AL,evansdw01,800000
1991,LAN,NL,gwynnch01,260000
2004,NYN,NL,stricsc01,650000
1985,BOS,AL,easlemi01,650000
2012,TBA,AL,jennide01,486900
1999,NYA,AL,watsoal01,200000
1999,SEA,AL,bournra01,400000
1994,CHA,AL,bereja01,170000
2005,DET,AL,bondeje01,400000
2007,CHN,NL,jonesja04,5633333
2009,LAN,NL,broxtjo01,1825000
2006,BAL,AL,gibboja01,4200000
2009,KCA,AL,tejedro01,437000
1988,CAL,AL,epparji01,62500
1992,CLE,AL,jeffere01,120000
1993,CAL,AL,sprinru01,112500
2005,SLN,NL,isrinja01,7000000
1995,OAK,AL,younger02,111000
2009,OAK,AL,garcino01,1000000
2011,ATL,NL,youngma02,414000
2006,SEA,AL,evereca01,3400000
2006,WAS,NL,ortizra01,2500000
2005,CHA,AL,marteda01,1250000
1998,PIT,NL,brownad01,178000
1986,NYN,NL,cartega01,2160714
2010,FLO,NL,henslcl01,425000
1989,HOU,NL,biggicr01,78000
1990,MON,NL,smithza01,860000
1998,LAN,NL,hollato01,700000
2006,SEA,AL,mateoju01,700000
2012,CHN,NL,barneda01,500000
2010,PHI,NL,polanpl01,5166666
2011,PIT,NL,ohlenro01,2025000
2009,DET,AL,larisje01,403000
1998,BAL,AL,charlno01,650000
2006,PHI,NL,utleych01,500000
2012,ATL,NL,minormi01,482500
2011,BAL,AL,berkeja01,426500
2009,CLE,AL,hafnetr01,11500000
2010,ARI,NL,reynoma01,833333
2005,SFN,NL,cruzde01,800000
2006,WAS,NL,claytro01,1000000
1998,BAL,AL,ripkeca01,6400000
1988,PIT,NL,colesda01,375000
1999,HOU,NL,aloumo01,5000000
2004,BAL,AL,palmera01,4000000
2012,DET,AL,jacksau01,500000
1990,SFN,NL,brantje01,175000
2009,SFN,NL,romose01,401700
2000,CHA,AL,valenjo03,1320000
2004,FLO,NL,foxch02,1200000
2010,LAN,NL,troncra01,416000
2003,CHA,AL,jimenda01,345000
2001,COL,NL,hollato01,2750000
2007,PHI,NL,moyerja01,6500000
2001,PHI,NL,chenbr01,300000
1991,CAL,AL,gallada01,357500
1994,HOU,NL,harnipe01,3205000
2011,COL,NL,smithse01,429000
2008,OAK,AL,suzukku01,395000
2012,DET,AL,martivi01,13000000
2004,TOR,AL,catalfr01,2300000
1986,SLN,NL,lahtije01,450000
2009,ATL,NL,gonzami02,3450000
2003,HOU,NL,chavera01,300000
1999,CIN,NL,neaglde01,4750000
2007,LAA,AL,molinjo01,1350000
2000,LAN,NL,brownke01,15714286
1999,DET,AL,easleda01,3350000
2005,WAS,NL,guzmacr01,4200000
1987,DET,AL,grubbjo01,365000
2008,BAL,AL,hernara02,7500000
1985,CLE,AL,blylebe01,650000
2004,MON,NL,dayza01,315000
2005,TOR,AL,towerjo01,358000
1992,CLE,AL,mesajo01,135000
1991,NYN,NL,fernasi01,2166667
2007,BOS,AL,lugoju01,8250000
1995,CHA,AL,thomala01,109000
1985,CLE,AL,ruhleve01,295000
2009,CIN,NL,owingmi01,420000
2007,LAA,AL,aybarer01,382500
1993,PHI,NL,eisenji01,675000
2001,PIT,NL,beimejo01,200000
1999,ARI,NL,frascjo01,345000
2001,ATL,NL,glavito02,9500000
2005,ATL,NL,hamptmi01,15125000
2006,PIT,NL,gonzami02,347000
2003,CHN,NL,borowjo01,410000
1995,CHN,NL,fosteke01,140000
2003,KCA,AL,ibanera01,3000000
2010,BAL,AL,tatumcr01,400000
1987,TOR,AL,fieldce01,78500
2002,ARI,NL,moellch01,215000
1989,PHI,NL,jordari02,95000
2000,ARI,NL,holmeda01,1916667
2006,COL,NL,carroja01,700000
1987,MIN,AL,gaettga01,950000
1993,OAK,AL,slusajo01,130000
1995,SFN,NL,lewisda01,1850000
1999,SFN,NL,bondsba01,9381057
2004,ARI,NL,alomaro01,1000000
1995,SEA,AL,newfima01,115000
1991,BOS,AL,hatchbi01,1250000
1990,NYA,AL,parkecl01,150000
1991,ML4,AL,bicheda01,185000
2005,ATL,NL,sosajo02,650000
1990,NYA,AL,mcculla01,650000
1990,PIT,NL,reynorj01,535000
1999,CHN,NL,gaettga01,2000000
1993,BOS,AL,darwida01,2750000
1998,BOS,AL,reyesca01,370000
2006,DET,AL,infanom01,385000
1995,LAN,NL,mondera01,435000
2007,MIL,NL,gwynnto02,381000
2003,PHI,NL,thomeji01,11166667
2004,NYN,NL,yatesty01,300000
2012,BAL,AL,reimono01,490500
2009,SDN,NL,delaceu01,400000
1996,OAK,AL,corsiji01,450000
2008,SEA,AL,putzjj01,4400000
1989,SLN,NL,pagnoto01,90000
2008,CHN,NL,wardda01,1200000
1997,PHI,NL,harrire01,175000
1989,LAN,NL,howelja01,925000
2010,SFN,NL,rowanaa01,13600000
2010,ATL,NL,mccanbr01,5700000
1994,LAN,NL,gottji01,1800000
2004,DET,AL,walkeja01,775000
1990,LAN,NL,hanseda01,100000
1985,KCA,AL,gubicma01,115000
2008,BAL,AL,morame01,7826914
1999,MIN,AL,coomero01,1150000
1997,FLO,NL,milleku01,163000
1997,SEA,AL,sheetan01,152500
1987,SDN,NL,martica01,340000
1997,FLO,NL,hernali01,1050000
1997,CHA,AL,martino01,350000
2006,TBA,AL,lugoju01,4950000
2004,LAN,NL,coraal01,1300000
1986,NYN,NL,siskdo01,275000
1999,TBA,AL,lowerte01,205000
1998,FLO,NL,floydcl01,500000
1987,PHI,NL,jacksmi02,62500
2002,FLO,NL,johnsch04,5000000
1990,ML4,AL,deerro01,885000
1988,CHN,NL,berryda01,62500
2010,TEX,AL,youngmi02,13174974
1995,FLO,NL,gardnma01,375000
2011,LAA,AL,santaer01,8000000
1985,MIN,AL,anderal02,62500
1996,ATL,NL,clontbr01,137500
2005,CLE,AL,howrybo01,900000
1998,BAL,AL,webstle01,740000
1985,ML4,AL,simmote01,1000000
2002,CIN,NL,davisla01,246500
2004,DET,AL,yanes01,650000
2002,LAN,NL,jordabr01,6600000
1992,ATL,NL,pendlte01,3025000
2003,BAL,AL,juliojo01,350000
1986,SLN,NL,hortori01,275000
2008,LAN,NL,kentje01,9000000
2011,ARI,NL,roberry01,423500
2007,SLN,NL,pujolal01,12937813
1991,NYN,NL,teufeti01,637500
1985,ML4,AL,waitsri01,460000
1998,PIT,NL,martial03,2600000
1993,CAL,AL,sandesc01,800000
1998,CHA,AL,kreutch01,710000
1998,FLO,NL,knorrra01,250000
1986,PHI,NL,kniceal01,80000
1986,PIT,NL,orsuljo01,135000
2011,BAL,AL,reynoma01,5333333
2001,HOU,NL,hidalri01,3500000
2004,NYA,AL,sheffga01,13000000
2008,TBA,AL,percitr01,3897797
2008,TBA,AL,shielja02,1000000
1989,BAL,AL,ripkebi01,100000
2006,SEA,AL,johjike01,5433333
1997,SFN,NL,jensema01,151500
2009,SLN,NL,kinnejo01,405000
1997,PIT,NL,martial03,2266667
1986,SLN,NL,whiteje01,100000
1994,HOU,NL,breamsi01,300000
1988,LAN,NL,crewsti01,78000
1986,PIT,NL,lezcasi01,500000
1987,ATL,NL,virgioz02,760000
2001,NYN,NL,walldo01,1150000
2004,SLN,NL,williwo02,8000000
2008,NYA,AL,jeterde01,21600000
2004,DET,AL,sheltch01,300000
2008,HOU,NL,pencehu01,396000
2010,TEX,AL,oliveda02,3000000
2007,SLN,NL,muldema01,4500000
1993,NYA,AL,farrst01,1500000
1991,LAN,NL,crewsti01,670000
1994,FLO,NL,colbrgr01,150000
2004,NYA,AL,vazquja01,9000000
1989,SLN,NL,guerrpe01,1833333
1992,CAL,AL,harvebr01,3125000
2011,CIN,NL,leakemi01,425000
2010,HOU,NL,manzeto01,400000
1993,PIT,NL,clarkda05,180000
2010,SDN,NL,stairma01,700000
1987,NYN,NL,aguilri01,195000
2006,TBA,AL,wiggity01,675000
1995,COL,NL,thompma01,109000
1985,OAK,AL,hendest01,150000
2012,ATL,NL,durbich01,900000
1993,SEA,AL,vizquom01,1112500
1985,OAK,AL,picciro01,100000
2010,DET,AL,nifu01,407500
1998,CHA,AL,eyresc01,185000
2001,PIT,NL,kendaja01,5100000
1997,CLE,AL,nagych01,3437500
1996,LAN,NL,dreifda01,134000
1989,OAK,AL,eckerde01,1062500
1995,CAL,AL,langsma01,5000000
2003,ANA,AL,eckstda01,425000
2006,ATL,NL,gilesma01,3850000
2003,ANA,AL,kennead01,2270000
1991,ATL,NL,castito02,165000
1992,CAL,AL,hayesvo01,2200000
1995,CAL,AL,allanan01,150000
2003,LAN,NL,colyest01,300000
2005,DET,AL,marotmi01,405000
1999,ARI,NL,ryanro02,200000
2011,CLE,AL,laporma01,431400
2012,ATL,NL,freemfr01,535000
2006,TEX,AL,shousbr01,725000
1995,NYN,NL,byrdpa01,109000
2011,FLO,NL,buckjo01,5000000
2008,SDN,NL,guevaca01,390000
1994,LAN,NL,webstmi01,600000
1999,SEA,AL,lampkto01,625000
1985,TEX,AL,hootobu01,565000
2012,BOS,AL,lestejo01,7625000
2008,CHA,AL,vazquja01,11500000
2006,SFN,NL,ellisja01,345000
2012,SLN,NL,beltrca01,13000000
1994,KCA,AL,lindjo01,2350000
1992,TOR,AL,wardtu01,127500
1985,TEX,AL,steinbi02,250000
2002,ARI,NL,bellja01,8000000
1997,COL,NL,leskacu01,516667
1987,CHA,AL,searara01,125000
